house,battery,distance,max_output_house,current_capacity_battery
57,1,29,63.87594515,63.87594515
141,2,52,29.86780761,29.86780761
89,3,54,64.25056806,64.25056806
19,4,21,38.72179636,38.72179636
14,5,68,39.45690812,39.45690812
83,1,9,32.56142196,96.43736711
136,2,35,29.1671214,59.03492901
117,3,70,63.30973309,127.56030115000002
40,4,12,51.94608562,90.66788198
23,5,49,71.42208448,110.8789926
87,1,19,56.03511409,152.4724812
150,2,47,26.19979919,85.2347282
47,3,30,46.63929091,174.19959206000001
107,4,27,62.33504063,153.00292261
69,5,34,57.19809379,168.07708639
131,1,21,63.13649746,215.60897866
133,2,36,76.1538049,161.38853310000002
27,3,68,38.13617191,212.33576397000002
22,4,12,59.91115918,212.91408179
101,5,62,64.25603513,232.33312152000002
52,1,43,45.9393011,261.54827976
139,2,30,52.07076394,213.45929704000002
88,3,45,38.69411298,251.02987695000002
28,4,58,29.83002147,242.74410326
42,5,55,29.34726889,261.68039041000003
59,1,13,31.4973607,293.04564046
4,2,49,46.4333204,259.89261744000004
109,3,32,51.84271486,302.87259181
117,4,57,63.30973309,306.05383635
84,5,32,55.75694271,317.43733312
23,1,37,71.42208448,364.46772494000004
50,2,39,55.74063546,315.63325290000006
129,3,53,44.9319234,347.80451521000003
81,4,42,55.93567156,361.98950791
125,5,62,69.53106382,386.96839694
51,1,27,60.96696147,425.43468641000004
36,2,40,52.08494864,367.71820154000005
74,3,43,38.37311881,386.17763402
30,4,36,68.6532457,430.64275361
26,5,35,61.05026554,448.01866248
73,1,19,31.97506792,457.40975433000006
51,2,25,60.96696147,428.68516301000005
124,3,37,41.46231813,427.63995215
22,4,12,59.91115918,490.55391279
37,5,23,38.71047582,486.7291383
97,1,55,46.25506287,503.6648172000001
117,2,61,63.30973309,491.99489610000006
25,3,58,70.21473166,497.85468381
34,4,30,62.0133643,552.5672770900001
49,5,70,60.7690834,547.4982216999999
70,1,38,66.07952654,569.7443437400001
141,2,52,29.86780761,521.86270371
117,3,70,63.30973309,561.1644169
100,4,30,39.37298309,591.9402601800001
100,5,38,39.37298309,586.87120479
89,1,41,64.25056806,633.9949118000001
79,2,17,60.5787997,582.44150341
8,3,37,30.48448777,591.64890467
136,4,31,29.1671214,621.1073815800002
82,5,27,67.70113184,654.57233663
