house,battery,distance,max_output_house
1,4,18,48.76400191
2,5,26,44.09168174
3,1,22,38.4723184
4,2,28,36.40331775
5,2,53,44.36102572
6,1,24,55.71262043
7,4,20,45.9622578
8,5,41,36.90684143
9,1,35,49.9985406
10,3,41,63.12038188
11,1,34,63.7118043
12,2,63,56.91378259
13,3,33,40.60892953
14,4,57,35.82814756
15,5,26,36.88169378
16,3,69,64.52218421
17,2,17,39.38884807
18,1,13,49.84931475
19,4,15,61.0137363
20,3,20,62.28650955
21,5,24,36.98224478
22,4,35,64.06758851
23,4,28,41.79763764
24,3,43,56.03098521
25,1,34,64.50983467
26,3,36,53.17296019
27,2,7,36.37710418
28,3,23,55.38231616
29,5,41,61.3949773
30,5,20,52.84858044
31,4,32,37.73044496
32,4,19,47.48157843
33,4,12,36.13312321
34,4,36,47.33240149
35,2,58,57.24475908
36,3,26,63.05172666
37,3,49,40.77396592
38,1,31,54.13000914
39,3,22,57.01992312
40,4,54,49.57599547
41,2,18,48.83351279
42,4,16,64.4517609
43,3,50,39.91374306
44,1,33,64.79397046
45,4,22,58.44840778
46,4,21,52.20518124
47,1,20,51.14671974
48,1,37,41.12708974
49,1,18,48.50865344
50,5,19,59.78619507
51,3,61,39.31626881
52,5,26,58.76139914
53,1,10,63.73606908
54,2,35,52.204709
55,1,23,36.7394839
56,5,4,39.8339645
57,3,43,40.4929237
58,4,47,61.5437326
59,1,7,52.23919855
60,4,11,57.03641574
61,1,17,61.57329114
62,5,13,54.48982494
63,2,12,38.62374353
64,2,51,43.1260208
65,3,38,44.4066236
66,4,19,64.44382811
67,5,30,38.40462319
68,4,38,64.1795134
69,2,25,40.87885768
70,1,29,63.87700034
71,2,49,47.14949021
72,5,36,58.3986013
73,4,33,64.49005705
74,5,9,62.88141752
75,2,47,43.94928406
76,4,22,50.35807729
77,1,37,56.40032746
78,2,23,60.93412813
79,4,38,58.6298162
80,5,46,47.39904077
81,3,64,61.34791216
82,1,3,59.05896036
83,3,11,59.68436389
84,2,27,49.50781665
85,3,53,39.81936486
86,4,12,41.68226663
87,4,8,40.61631674
88,4,9,55.90292767
89,4,60,42.61411328
90,1,35,49.44122897
91,1,39,49.04859791
92,3,62,57.36334288
93,3,40,38.33821095
94,4,49,54.0265882
95,2,24,57.39706274
96,1,17,43.25342339
97,5,29,49.04355789
98,3,22,63.56837786
99,1,13,58.39362925
100,2,36,38.79808279
101,5,17,35.44113109
102,1,14,46.87020086
103,5,36,64.6667857
104,1,18,52.89669021
105,4,14,36.64489815
106,1,3,38.48596722
107,4,37,47.63820126
108,4,25,63.8665196
109,2,19,62.12319013
110,3,18,50.13812647
111,3,73,45.04775519
112,2,29,39.51931013
113,3,65,64.74853094
114,2,37,45.54974087
115,3,49,38.76288176
116,5,9,54.907644
117,1,19,57.5929688
118,2,31,54.51204967
119,5,14,45.8934274
120,2,32,41.48920914
121,1,25,43.44180597
122,1,33,39.14559958
123,5,6,38.69040639
124,3,34,38.17991123
125,1,42,50.56612579
126,5,16,54.8377261
127,2,31,36.67499817
128,5,15,41.88875758
129,2,13,52.8837846
130,5,32,44.36408371
131,5,40,40.7044132
132,2,25,48.28655559
133,2,23,47.83949256
134,5,21,51.50674585
135,3,3,59.37576043
136,2,21,50.04026027
137,2,35,49.40039856
138,5,27,55.9303441
139,2,16,41.16116018
140,2,37,50.75214489
141,5,17,60.91065902
142,5,28,40.55434782
143,5,34,44.58706876
144,3,30,58.83768219
145,2,33,56.32473588
146,5,21,54.95406591
147,5,37,35.5552718
148,2,13,38.40802103
149,3,48,37.82715244
150,3,24,57.12008594
total distance: 4370,costs grid:39330,costs batteries:25000,total costs:64330
