house,battery,distance,max_output_house
1,4,39,53.97543253
2,5,44,66.13020717
3,4,21,39.82123377
4,3,58,46.4333204
5,3,63,62.43058175
6,1,22,62.14055349
7,2,33,52.43116675
8,2,42,30.48448777
9,3,67,63.19785578
10,5,20,65.00367928
11,3,30,40.20336825
12,2,25,53.03976583
13,3,12,39.13247939
14,1,10,39.45690812
15,4,42,53.84443114
16,2,21,60.40913294
17,5,38,27.78076375
18,5,23,57.77286486
19,4,21,38.72179636
20,4,23,29.92408755
21,3,8,41.78571625
22,1,10,59.91115918
23,5,49,71.42208448
24,5,64,37.23961036
25,1,45,70.21473166
26,2,37,61.05026554
27,4,55,38.13617191
28,4,58,29.83002147
29,3,32,74.15296092
30,3,49,68.6532457
31,5,57,54.25835415
32,5,9,41.7880369
33,4,40,72.88165705
34,3,43,62.0133643
35,4,55,53.08761347
36,5,32,52.08494864
37,5,23,38.71047582
38,3,21,66.05341632
39,5,34,45.33453242
40,5,56,51.94608562
41,1,20,57.11814462
42,1,17,29.34726889
43,4,40,37.28002017
44,1,18,58.90934923
45,4,38,45.14508246
46,3,32,44.75870431
47,1,25,46.63929091
48,5,6,29.93133051
49,3,13,60.7690834
50,3,48,55.74063546
51,2,25,60.96696147
52,2,49,45.9393011
53,1,31,70.02856894
54,1,36,26.27681146
55,3,34,31.03872389
56,4,38,29.51140333
57,5,43,63.87594515
58,1,60,28.04976611
59,2,7,31.4973607
60,4,53,45.25994244
61,1,12,49.93687743
62,1,47,65.6434655
63,5,11,38.5524821
64,2,46,48.15325636
65,2,14,59.63813712
66,5,7,44.14228862
67,2,15,28.73871494
68,2,42,35.97663002
69,5,34,57.19809379
70,2,32,66.07952654
71,4,58,75.8473443
72,3,26,38.85647001
73,4,5,31.97506792
74,5,38,38.37311881
75,1,29,40.72933179
76,1,38,53.27408283
77,2,27,57.15314373
78,5,27,56.14106998
79,3,8,60.5787997
80,5,17,47.17876571
81,2,26,55.93567156
82,5,27,67.70113184
83,4,31,32.56142196
84,1,36,55.75694271
85,2,1,59.68412189
86,3,37,30.57764452
87,2,23,56.03511409
88,1,32,38.69411298
89,2,45,64.25056806
90,2,57,74.82543524
91,3,64,34.78697213
92,1,49,46.65642768
93,2,51,60.03957103
94,1,24,29.26065385
95,5,9,70.68631843
96,5,14,74.53947279
97,5,13,46.25506287
98,3,40,33.30314048
99,5,49,70.41480105
100,1,32,39.37298309
101,1,8,64.25603513
102,1,6,66.45865072
103,4,30,38.3766668
104,4,31,26.65336877
105,3,53,32.63123071
106,2,62,68.63304898
107,5,41,62.33504063
108,1,42,41.71675352
109,2,21,51.84271486
110,1,19,29.90737428
111,1,40,58.40033018
112,4,44,38.50460131
113,5,55,37.81128037
114,5,50,73.40226925
115,1,9,33.56390131
116,2,41,33.96614241
117,1,57,63.30973309
118,2,26,26.81272998
119,3,29,47.29043731
120,2,53,54.40644245
121,2,33,67.12368936
122,1,10,39.85726456
123,2,44,29.43663895
124,2,28,41.46231813
125,4,16,69.53106382
126,3,25,72.11411933
127,4,30,41.23924682
128,2,37,33.61818802
129,1,40,44.9319234
130,1,12,50.53984719
131,4,21,63.13649746
132,4,27,38.24420236
133,3,45,76.1538049
134,3,40,43.28587772
135,4,36,60.8375359
136,4,31,29.1671214
137,4,18,43.0013272
138,3,23,70.34144168
139,4,26,52.07076394
140,4,38,63.12900053
141,3,41,29.86780761
142,4,40,66.97873982
143,1,18,42.32972013
144,2,13,30.41692196
145,3,30,74.26615041
146,3,14,49.16852893
147,4,53,71.35472201
148,4,33,66.78438663
149,3,40,56.65609954
150,4,43,26.19979919
total distance: 4879,costs grid:43911,costs batteries:25000,total costs:68911
