house,battery,distance,max_output_house,current_capacity_battery,total_distance
128,3,26,33.61818802,754.04025505,1449
2,4,26,66.13020717,904.9787247499999,1475
139,4,26,52.07076394,957.0494886899999,1501
77,2,27,57.15314373,253.49567975000002,1528
98,4,27,33.30314048,990.3526291699999,1555
107,4,27,62.33504063,1052.6876697999999,1582
132,4,27,38.24420236,1090.9318721599998,1609
149,4,27,56.65609954,1147.5879716999998,1636
6,2,28,62.14055349,315.63623324,1664
53,3,28,70.02856894,824.06882399,1692
68,4,28,35.97663002,1183.5646017199997,1720
99,4,29,70.41480105,1253.9794027699998,1749
34,4,30,62.0133643,1315.9927670699997,1779
100,4,30,39.37298309,1355.3657501599996,1809
104,4,31,26.65336877,1382.0191189299996,1840
136,4,31,29.1671214,1411.1862403299997,1871
29,3,32,74.15296092,898.22178491,1903
46,3,32,44.75870431,942.98048922,1935
88,4,32,38.69411298,1449.8803533099997,1967
55,3,34,31.03872389,974.01921311,2001
39,4,34,45.33453242,1495.2148857299997,2035
57,2,35,63.87594515,379.51217839000003,2070
133,2,36,76.1538049,455.66598329000004,2106
26,2,37,61.05026554,516.71624883,2143
8,3,37,30.48448777,1004.50370088,2180
69,2,38,57.19809379,573.9143426200001,2218
52,3,38,45.9393011,1050.44300198,2256
50,2,39,55.74063546,629.6549780800001,2295
30,2,40,68.6532457,698.30822378,2335
36,2,40,52.08494864,750.39317242,2375
54,2,40,26.27681146,776.66998388,2415
84,2,40,55.75694271,832.42692659,2455
134,3,40,43.28587772,1093.7288796999999,2495
116,2,41,33.96614241,866.393069,2536
141,3,41,29.86780761,1123.5966873099999,2577
71,2,42,75.8473443,942.2404133,2619
74,2,42,38.37311881,980.61353211,2661
140,2,42,63.12900053,1043.74253264,2703
1,2,43,53.97543253,1097.71796517,2746
111,3,43,58.40033018,1181.99701749,2789
43,2,44,37.28002017,1134.99798534,2833
76,2,44,53.27408283,1188.27206817,2877
105,2,44,32.63123071,1220.90329888,2921
123,2,44,29.43663895,1250.33993783,2965
129,2,44,44.9319234,1295.27186123,3009
142,2,44,66.97873982,1362.2506010500001,3053
78,2,45,56.14106998,1418.39167103,3098
82,2,45,67.70113184,1486.09280287,3143
17,3,45,27.78076375,1209.77778124,3188
89,3,54,64.25056806,1274.0283493,3242
15,3,55,53.84443114,1327.87278044,3297
64,3,55,48.15325636,1376.0260368,3352
108,3,55,41.71675352,1417.74279032,3407
60,3,56,45.25994244,1463.00273276,3463
150,3,56,26.19979919,1489.20253195,3519
total distance: 3519,costs grid:31671,costs batteries:25000,total costs:56671,
