house,battery,distance,max_output_house,current_capacity_battery
1,3,52,53.97543253,53.97543253
2,4,26,66.13020717,66.13020717
3,1,43,39.82123377,39.82123377
4,5,23,46.4333204,46.4333204
5,5,20,62.43058175,108.86390215
6,4,44,62.14055349,128.27076066
7,1,27,52.43116675,92.25240052000001
8,2,42,30.48448777,30.48448777
9,5,14,63.19785578,172.06175793
10,1,48,65.00367928,157.2560798
11,3,30,40.20336825,94.17880077999999
12,1,19,53.03976583,210.29584563
13,2,23,39.13247939,69.61696716
14,2,16,39.45690812,109.07387528000001
15,5,26,53.84443114,225.90618906999998
16,5,51,60.40913294,286.31532201
17,3,45,27.78076375,121.95956453
18,5,23,57.77286486,344.08818686999996
19,1,21,38.72179636,249.01764199000002
20,3,34,29.92408755,151.88365208
21,3,8,41.78571625,193.66936833
22,1,10,59.91115918,308.92880117000004
23,5,49,71.42208448,415.5102713499999
24,2,32,37.23961036,146.31348564
25,4,45,70.21473166,198.48549232
26,3,46,61.05026554,254.71963387
27,3,68,38.13617191,292.85580577999997
28,5,16,29.83002147,445.34029281999995
29,4,55,74.15296092,272.63845324
30,3,49,68.6532457,361.50905148
31,4,13,54.25835415,326.89680739
32,5,9,41.7880369,487.12832971999995
33,1,18,72.88165705,381.81045822000004
34,2,34,62.0133643,208.32684994000002
35,3,68,53.08761347,414.59666495
36,2,40,52.08494864,260.41179858000004
37,5,23,38.71047582,525.83880554
38,3,21,66.05341632,480.65008127
39,5,34,45.33453242,571.1733379599999
40,3,25,51.94608562,532.59616689
41,3,15,57.11814462,589.7143115099999
42,4,39,29.34726889,356.24407628
43,5,28,37.28002017,608.45335813
44,2,14,58.90934923,319.32114781
45,4,38,45.14508246,401.38915873999997
46,3,32,44.75870431,634.4730158199999
47,2,19,46.63929091,365.96043872
48,3,87,29.93133051,664.4043463299998
49,3,13,60.7690834,725.1734297299998
50,3,48,55.74063546,780.9140651899999
51,5,47,60.96696147,669.4203196
52,5,43,45.9393011,715.3596206999999
53,1,31,70.02856894,451.83902716000006
54,3,49,26.27681146,807.1908766499998
55,3,34,31.03872389,838.2296005399999
56,5,68,29.51140333,744.87102403
57,2,35,63.87594515,429.83638387
58,4,60,28.04976611,429.43892485
59,3,18,31.4973607,869.7269612399998
60,4,53,45.25994244,474.69886728999995
61,3,25,49.93687743,919.6638386699998
62,4,47,65.6434655,540.34233279
63,4,67,38.5524821,578.89481489
64,5,32,48.15325636,793.02428039
65,3,5,59.63813712,979.3019757899998
66,5,7,44.14228862,837.16656901
67,5,59,28.73871494,865.90528395
68,4,28,35.97663002,614.87144491
69,4,54,57.19809379,672.0695387000001
70,1,38,66.07952654,517.9185537000001
71,3,49,75.8473443,1055.1493200899997
72,4,23,38.85647001,710.92600871
73,3,24,31.97506792,1087.1243880099996
74,4,58,38.37311881,749.2991275200001
75,2,29,40.72933179,470.56571566
76,3,45,53.27408283,1140.3984708399996
77,4,39,57.15314373,806.4522712500001
78,5,27,56.14106998,922.04635393
79,1,21,60.5787997,578.4973534000001
80,5,17,47.17876571,969.22511964
81,4,42,55.93567156,862.3879428100001
82,5,27,67.70113184,1036.92625148
83,4,31,32.56142196,894.9493647700001
84,1,36,55.75694271,634.25429611
85,1,7,59.68412189,693.9384180000001
86,2,26,30.57764452,501.14336018
87,4,21,56.03511409,950.9844788600001
88,5,36,38.69411298,1075.62036446
89,3,54,64.25056806,1204.6490388999996
90,5,15,74.82543524,1150.4457997
91,1,51,34.78697213,728.72539013
92,5,19,46.65642768,1197.10222738
93,2,51,60.03957103,561.18293121
94,1,24,29.26065385,757.9860439800001
95,5,9,70.68631843,1267.78854581
96,5,14,74.53947279,1342.3280186
97,5,13,46.25506287,1388.58308147
98,4,27,33.30314048,984.2876193400001
99,3,52,70.41480105,1275.0638399499996
100,1,32,39.37298309,797.3590270700001
101,1,8,64.25603513,861.6150622000001
102,2,12,66.45865072,627.64158193
103,3,33,38.3766668,1313.4405067499997
104,2,35,26.65336877,654.2949507000001
105,5,28,32.63123071,1421.21431218
106,4,58,68.63304898,1052.92066832
107,4,27,62.33504063,1115.25570895
108,5,36,41.71675352,1462.9310657
109,4,15,51.84271486,1167.09842381
110,1,19,29.90737428,891.5224364800001
111,1,40,58.40033018,949.9227666600001
112,5,24,38.50460131,1501.43566701
113,3,26,37.81128037,1351.2517871199998
114,3,39,73.40226925,1424.6540563699998
115,1,9,33.56390131,983.4866679700001
116,2,41,33.96614241,688.26109311
117,2,61,63.30973309,751.5708262
118,1,24,26.81272998,1010.2993979500001
119,3,29,47.29043731,1471.9444936799998
120,4,49,54.40644245,1221.50486626
121,4,49,67.12368936,1288.62855562
122,2,14,39.85726456,791.42809076
123,4,40,29.43663895,1318.0651945700001
124,2,28,41.46231813,832.89040889
125,1,6,69.53106382,1079.83046177
126,4,32,72.11411933,1390.1793139000001
127,4,30,41.23924682,1431.4185607200002
128,1,31,33.61818802,1113.44864979
129,1,40,44.9319234,1158.38057319
130,1,12,50.53984719,1208.92042038
131,2,25,63.13649746,896.02690635
132,2,43,38.24420236,934.27110871
133,2,36,76.1538049,1010.42491361
134,4,63,43.28587772,1474.70443844
135,2,20,60.8375359,1071.26244951
136,4,31,29.1671214,1503.8715598400001
137,1,26,43.0013272,1251.92174758
138,1,28,70.34144168,1322.2631892600002
139,1,26,52.07076394,1374.3339532000002
140,1,38,63.12900053,1437.4629537300002
141,2,52,29.86780761,1101.13025712
142,1,40,66.97873982,1504.4416935500003
143,2,22,42.32972013,1143.4599772499998
144,3,8,30.41692196,1502.36141564
145,2,21,74.26615041,1217.7261276599997
146,2,5,49.16852893,1266.8946565899998
147,2,57,71.35472201,1338.2493785999998
148,2,25,66.78438663,1405.0337652299997
149,2,31,56.65609954,1461.6898647699998
150,2,47,26.19979919,1487.8896639599998
total distance: 4881,costs grid:43929,costs batteries:25000,total costs:68929,
