house,battery,distance,max_output_house,current_capacity_battery
"(28, {1: 1, 2: 38, 3: 57, 4: 15, 5: 29})",1,1,52.96938435,52.96938435
"(150, {1: 34, 2: 3, 3: 22, 4: 50, 5: 40})",2,3,47.73944395,47.73944395
"(36, {1: 54, 2: 17, 3: 4, 4: 70, 5: 40})",3,4,53.46156177,53.46156177
"(145, {1: 15, 2: 52, 3: 71, 4: 1, 5: 41})",4,1,48.22881096,48.22881096
"(25, {1: 29, 2: 38, 3: 43, 4: 43, 5: 1})",5,1,47.34915773,47.34915773
"(111, {1: 4, 2: 33, 3: 52, 4: 20, 5: 24})",1,4,46.65187897,99.62126332
"(5, {1: 33, 2: 4, 3: 23, 4: 49, 5: 37})",2,4,54.14676516,101.88620911000001
"(46, {1: 51, 2: 14, 3: 5, 4: 67, 5: 39})",3,5,49.86535747,103.32691924
"(139, {1: 17, 2: 54, 3: 73, 4: 1, 5: 43})",4,1,52.57995149,100.80876244999999
"(31, {1: 32, 2: 41, 3: 42, 4: 46, 5: 4})",5,4,51.95373609,99.30289382000001
"(128, {1: 4, 2: 41, 3: 60, 4: 16, 5: 26})",1,4,53.63429606,153.25555938
"(75, {1: 39, 2: 4, 3: 17, 4: 55, 5: 41})",2,4,45.78474275,147.67095186
"(102, {1: 59, 2: 22, 3: 5, 4: 75, 5: 45})",3,5,53.48855448,156.81547372
"(37, {1: 16, 2: 51, 3: 70, 4: 2, 5: 44})",4,2,49.79974209,150.60850453999998
"(93, {1: 33, 2: 42, 3: 43, 4: 47, 5: 5})",5,5,45.29702228,144.5999161
"(24, {1: 4, 2: 33, 3: 52, 4: 20, 5: 26})",1,4,46.75613739,200.01169677
"(15, {1: 32, 2: 5, 3: 24, 4: 48, 5: 36})",2,5,45.54596912,193.21692098
"(120, {1: 48, 2: 11, 3: 8, 4: 64, 5: 34})",3,8,45.17557463,201.99104835
"(12, {1: 19, 2: 52, 3: 71, 4: 5, 5: 47})",4,5,54.99730646,205.605811
"(54, {1: 33, 2: 42, 3: 47, 4: 47, 5: 5})",5,5,48.14242474,192.74234084
"(144, {1: 5, 2: 42, 3: 61, 4: 19, 5: 23})",1,5,48.74438962,248.75608638999998
"(51, {1: 32, 2: 5, 3: 24, 4: 48, 5: 42})",2,5,50.55356632,243.7704873
"(131, {1: 48, 2: 11, 3: 8, 4: 64, 5: 38})",3,8,47.92097158,249.91201992999999
"(69, {1: 13, 2: 46, 3: 65, 4: 7, 5: 41})",4,7,51.72717898,257.33298998
"(59, {1: 22, 2: 31, 3: 36, 4: 36, 5: 6})",5,6,52.0929123,244.83525314
"(34, {1: 5, 2: 42, 3: 61, 4: 15, 5: 27})",1,5,52.58547404,301.34156042999996
"(41, {1: 33, 2: 6, 3: 23, 4: 49, 5: 43})",2,6,50.04190502,293.81239232
"(105, {1: 58, 2: 21, 3: 8, 4: 74, 5: 44})",3,8,47.6825473,297.59456723
"(132, {1: 21, 2: 50, 3: 69, 4: 7, 5: 49})",4,7,48.43719875,305.77018873
"(134, {1: 28, 2: 37, 3: 48, 4: 42, 5: 6})",5,6,47.56339729,292.39865043
"(32, {1: 5, 2: 42, 3: 61, 4: 13, 5: 29})",1,5,54.30849405,355.65005447999994
"(80, {1: 39, 2: 6, 3: 17, 4: 55, 5: 43})",2,6,45.2342213,339.04661362
"(107, {1: 46, 2: 9, 3: 10, 4: 62, 5: 44})",3,10,53.3512745,350.94584173
"(72, {1: 10, 2: 47, 3: 66, 4: 8, 5: 34})",4,8,49.13738507,354.90757379999997
"(125, {1: 32, 2: 41, 3: 42, 4: 46, 5: 6})",5,6,46.43816048,338.83681091
"(53, {1: 8, 2: 45, 3: 64, 4: 20, 5: 22})",1,8,48.60918505,404.25923952999995
"(7, {1: 30, 2: 7, 3: 26, 4: 46, 5: 30})",2,7,46.74039375,385.78700737
"(6, {1: 60, 2: 23, 3: 10, 4: 76, 5: 46})",3,10,45.24272018,396.18856191
"(19, {1: 23, 2: 48, 3: 67, 4: 9, 5: 51})",4,9,46.63089313,401.53846692999997
"(16, {1: 21, 2: 30, 3: 35, 4: 37, 5: 7})",5,7,49.93506537,388.77187628
"(96, {1: 8, 2: 29, 3: 48, 4: 24, 5: 24})",1,8,50.16548949,454.42472902
"(108, {1: 38, 2: 7, 3: 18, 4: 54, 5: 30})",2,7,51.58057128,437.36757865000004
"(79, {1: 66, 2: 29, 3: 10, 4: 82, 5: 52})",3,10,53.71601636,449.90457827
"(66, {1: 19, 2: 56, 3: 75, 4: 9, 5: 33})",4,9,46.05322103,447.59168795999994
"(71, {1: 25, 2: 34, 3: 35, 4: 39, 5: 7})",5,7,52.78210048,441.55397676
"(114, {1: 8, 2: 29, 3: 48, 4: 24, 5: 32})",1,8,53.12331423,507.54804325
"(103, {1: 38, 2: 7, 3: 18, 4: 54, 5: 44})",2,7,50.91041056,488.27798921000004
"(13, {1: 45, 2: 8, 3: 11, 4: 61, 5: 45})",3,11,47.04037014,496.94494841
"(11, {1: 24, 2: 43, 3: 62, 4: 10, 5: 52})",4,10,46.8033198,494.39500775999994
"(129, {1: 35, 2: 44, 3: 45, 4: 49, 5: 7})",5,7,49.54607954,491.1000563
"(149, {1: 9, 2: 42, 3: 61, 4: 23, 5: 19})",1,9,46.27510427,553.82314752
"(142, {1: 44, 2: 7, 3: 12, 4: 60, 5: 36})",2,7,51.83878558,540.11677479
"(97, {1: 45, 2: 10, 3: 11, 4: 61, 5: 31})",3,11,52.38040091,549.32534932
"(88, {1: 10, 2: 47, 3: 66, 4: 10, 5: 32})",4,10,52.2305101,546.62551786
"(10, {1: 34, 2: 43, 3: 44, 4: 48, 5: 8})",5,8,51.86891316,542.96896946
"(3, {1: 10, 2: 27, 3: 46, 4: 26, 5: 24})",1,10,51.81241388,605.6355614
"(141, {1: 29, 2: 8, 3: 27, 4: 45, 5: 35})",2,8,48.94518723,589.06196202
"(136, {1: 41, 2: 8, 3: 15, 4: 57, 5: 45})",3,15,45.25109877,594.57644809
"(17, {1: 25, 2: 42, 3: 61, 4: 11, 5: 53})",4,11,49.07862835,595.70414621
"(18, {1: 36, 2: 45, 3: 46, 4: 50, 5: 8})",5,8,54.18469088,597.15366034
"(33, {1: 10, 2: 27, 3: 46, 4: 26, 5: 38})",1,10,54.2211502,659.8567116
"(60, {1: 28, 2: 9, 3: 28, 4: 44, 5: 42})",2,9,45.5472391,634.60920112
"(8, {1: 50, 2: 21, 3: 22, 4: 66, 5: 36})",3,22,54.75398768,649.33043577
"(130, {1: 15, 2: 52, 3: 71, 4: 11, 5: 31})",4,11,54.56844455,650.27259076
"(29, {1: 33, 2: 42, 3: 43, 4: 47, 5: 9})",5,9,46.60969509,643.76335543
"(143, {1: 12, 2: 35, 3: 54, 4: 26, 5: 16})",1,12,47.71839737,707.5751089700001
"(68, {1: 25, 2: 12, 3: 31, 4: 41, 5: 49})",2,12,48.54997218,683.1591733
"(38, {1: 33, 2: 22, 3: 23, 4: 49, 5: 19})",3,23,51.75273225,701.08316802
"(117, {1: 21, 2: 58, 3: 77, 4: 11, 5: 35})",4,11,53.95936785,704.23195861
"(121, {1: 29, 2: 38, 3: 53, 4: 43, 5: 11})",5,11,51.57104914,695.3344045700001
"(48, {1: 12, 2: 25, 3: 44, 4: 28, 5: 26})",1,12,53.35585729,760.9309662600001
"(82, {1: 26, 2: 13, 3: 30, 4: 42, 5: 50})",2,13,50.30051709,733.45969039
"(85, {1: 51, 2: 22, 3: 23, 4: 67, 5: 37})",3,23,53.95360569,755.03677371
"(127, {1: 26, 2: 41, 3: 60, 4: 12, 5: 54})",4,12,53.08724525,757.31920386
"(30, {1: 16, 2: 25, 3: 42, 4: 30, 5: 12})",5,12,45.84094791,741.17535248
"(4, {1: 13, 2: 32, 3: 51, 4: 27, 5: 15})",1,13,53.11777253,814.0487387900001
"(47, {1: 23, 2: 14, 3: 33, 4: 39, 5: 25})",2,14,46.38651333,779.84620372
"(123, {1: 32, 2: 15, 3: 24, 4: 48, 5: 22})",3,24,54.7990422,809.8358159100001
"(40, {1: 28, 2: 65, 3: 84, 4: 12, 5: 42})",4,12,54.91354462,812.23274848
"(112, {1: 16, 2: 27, 3: 46, 4: 30, 5: 12})",5,12,51.54326497,792.71861745
"(77, {1: 13, 2: 36, 3: 55, 4: 27, 5: 15})",1,13,49.79777396,863.8465127500001
"(22, {1: 24, 2: 15, 3: 32, 4: 40, 5: 52})",2,15,53.98009231,833.82629603
"(115, {1: 31, 2: 18, 3: 25, 4: 47, 5: 55})",3,25,48.31035497,858.1461708800001
"(126, {1: 28, 2: 45, 3: 64, 4: 14, 5: 56})",4,14,48.72125695,860.95400543
"(94, {1: 15, 2: 36, 3: 55, 4: 29, 5: 13})",5,13,47.09131203,839.80992948
"(116, {1: 13, 2: 24, 3: 43, 4: 29, 5: 39})",1,13,51.79628813,915.6428008800001
"(106, {1: 23, 2: 16, 3: 35, 4: 37, 5: 51})",2,16,45.61104522,879.43734125
"(67, {1: 35, 2: 26, 3: 25, 4: 47, 5: 63})",3,25,48.70842308,906.8545939600001
"(109, {1: 20, 2: 57, 3: 76, 4: 14, 5: 34})",4,14,50.30256407,911.2565695000001
"(84, {1: 23, 2: 36, 3: 55, 4: 37, 5: 13})",5,13,50.8435769,890.6535063800001
"(21, {1: 14, 2: 23, 3: 42, 4: 30, 5: 18})",1,14,52.92581641,968.5686172900001
"(148, {1: 27, 2: 16, 3: 29, 4: 43, 5: 21})",2,16,48.82801588,928.26535713
"(64, {1: 30, 2: 21, 3: 26, 4: 46, 5: 16})",3,26,49.93311335,956.7877073100001
"(39, {1: 28, 2: 65, 3: 84, 4: 14, 5: 42})",4,14,48.27297674,959.5295462400001
"(99, {1: 28, 2: 23, 3: 28, 4: 44, 5: 14})",5,14,52.05437525,942.7078816300001
"(113, {1: 14, 2: 49, 3: 68, 4: 28, 5: 26})",1,14,50.38289294,1018.9515102300002
"(98, {1: 20, 2: 17, 3: 36, 4: 36, 5: 26})",2,17,47.58049297,975.8458501
"(20, {1: 37, 2: 28, 3: 27, 4: 47, 5: 65})",3,27,48.43740503,1005.2251123400001
"(122, {1: 30, 2: 67, 3: 86, 4: 14, 5: 44})",4,14,50.20207187,1009.73161811
"(35, {1: 30, 2: 39, 3: 40, 4: 44, 5: 14})",5,14,46.9524009,989.6602825300001
"(65, {1: 14, 2: 35, 3: 54, 4: 18, 5: 42})",1,14,49.65236115,1068.60387138
"(74, {1: 20, 2: 17, 3: 36, 4: 36, 5: 44})",2,17,48.0219944,1023.8678445
"(89, {1: 45, 2: 28, 3: 29, 4: 61, 5: 31})",3,29,51.82639703,1057.05150937
"(44, {1: 31, 2: 68, 3: 87, 4: 15, 5: 45})",4,15,54.54461427,1064.27623238
"(52, {1: 42, 2: 51, 3: 52, 4: 56, 5: 14})",5,14,47.37788381,1037.03816634
"(26, {1: 14, 2: 25, 3: 44, 4: 28, 5: 42})",1,14,46.26812357,1114.87199495
"(1, {1: 19, 2: 18, 3: 37, 4: 35, 5: 41})",2,18,51.94411629,1075.81196079
"(45, {1: 30, 2: 29, 3: 30, 4: 46, 5: 16})",3,30,47.94582721,1104.9973365800001
"(92, {1: 24, 2: 37, 3: 56, 4: 16, 5: 52})",4,16,46.51627586,1110.79250824
"(14, {1: 29, 2: 38, 3: 57, 4: 43, 5: 15})",5,15,50.25432556,1087.2924919000002
"(23, {1: 15, 2: 46, 3: 65, 4: 29, 5: 23})",1,15,52.91142802,1167.78342297
"(91, {1: 27, 2: 18, 3: 35, 4: 37, 5: 55})",2,18,54.53006205,1130.34202284
"(138, {1: 29, 2: 30, 3: 31, 4: 45, 5: 15})",3,31,47.97674042,1152.974077
"(118, {1: 32, 2: 69, 3: 88, 4: 16, 5: 46})",4,16,49.52760828,1160.32011652
"(110, {1: 43, 2: 52, 3: 53, 4: 57, 5: 15})",5,15,53.26904882,1140.5615407200003
"(63, {1: 16, 2: 21, 3: 40, 4: 32, 5: 24})",1,16,45.40186719,1213.18529016
"(140, {1: 17, 2: 20, 3: 39, 4: 33, 5: 21})",2,20,47.67000862,1178.0120314600001
"(55, {1: 32, 2: 23, 3: 32, 4: 40, 5: 60})",3,32,49.72629004,1202.7003670400002
"(104, {1: 18, 2: 35, 3: 54, 4: 18, 5: 46})",4,18,53.76285577,1214.08297229
"(62, {1: 18, 2: 21, 3: 38, 4: 34, 5: 16})",5,16,48.25043584,1188.8119765600002
"(81, {1: 16, 2: 21, 3: 40, 4: 32, 5: 38})",1,16,53.15980812,1266.34509828
"(86, {1: 20, 2: 21, 3: 40, 4: 32, 5: 48})",2,21,53.32105133,1231.3330827900002
