house,battery,distance,max_output_house,current_capacity_battery,total_distance
125,4,19,50.56612579,1397.5831907799993,1364
50,5,19,59.78619507,1024.2237379399999,1383
20,3,20,62.28650955,770.7005679099999,1403
73,3,20,64.49005705,835.1906249599999,1423
75,4,20,43.94928406,1441.5324748399994,1443
24,5,20,56.03098521,1080.2547231499998,1463
136,2,21,50.04026027,1035.5836171600001,1484
44,3,21,64.79397046,899.9845954199999,1505
69,3,21,40.87885768,940.8634530999999,1526
29,3,22,61.3949773,1002.2584304,1548
98,3,22,63.56837786,1065.82680826,1570
45,4,22,58.44840778,1499.9808826199994,1592
78,2,23,60.93412813,1096.5177452900002,1615
133,2,23,47.83949256,1144.3572378500003,1638
77,3,23,56.40032746,1122.22713572,1661
95,2,24,57.39706274,1201.7543005900002,1685
12,5,24,56.91378259,1137.1685057399998,1709
21,5,24,36.98224478,1174.1507505199997,1733
70,5,24,63.87700034,1238.0277508599997,1757
5,3,25,44.36102572,1166.58816144,1782
64,3,25,43.1260208,1209.7141822400001,1807
111,2,27,45.04775519,1246.8020557800003,1834
114,5,28,45.54974087,1283.5774917299998,1862
72,2,29,58.3986013,1305.2006570800004,1891
81,5,29,61.34791216,1344.9254038899999,1920
149,5,29,37.82715244,1382.7525563299998,1949
113,5,30,64.74853094,1447.5010872699997,1979
115,5,30,38.76288176,1486.2639690299998,2009
118,2,31,54.51204967,1359.7127067500003,2040
58,2,32,61.5437326,1421.2564393500002,2072
14,1,34,35.82814756,1507.7272766400001,2106
8,2,34,36.90684143,1458.1632807800002,2140
137,2,35,49.40039856,1507.5636793400001,2175
108,3,60,63.8665196,1273.58070184,2235
16,3,69,64.52218421,1338.10288605,2304
94,3,70,54.0265882,1392.1294742500002,2374
38,3,75,54.13000914,1446.2594833900002,2449
54,3,81,52.204709,1498.4641923900003,2530
total distance: 2530,costs grid:22770,costs batteries:25000,total costs:47770,
