house,battery,distance,max_output_house,current_capacity_battery,total_distance
52,5,14,47.37788381,984.9837910900001,760
99,5,14,52.05437525,1037.03816634,774
23,1,15,52.91142802,1220.01393307,789
22,2,15,53.98009231,1031.84944035,804
123,2,15,54.7990422,1086.64848255,819
44,4,15,54.54461427,1012.0457222800001,834
14,5,15,50.25432556,1087.2924919000002,849
110,5,15,53.26904882,1140.5615407200003,864
138,5,15,47.97674042,1188.5382811400002,879
63,1,16,45.40186719,1265.41580026,895
81,1,16,53.15980812,1318.57560838,911
87,1,16,50.63918945,1369.21479783,927
106,2,16,45.61104522,1132.25952777,943
148,2,16,48.82801588,1181.08754365,959
92,4,16,46.51627586,1058.56199814,975
118,4,16,49.52760828,1108.08960642,991
45,5,16,47.94582721,1236.4841083500003,1007
50,5,16,48.01065715,1284.4947655000003,1023
62,5,16,48.25043584,1332.7452013400002,1039
64,5,16,49.93311335,1382.6783146900002,1055
49,1,17,54.16981224,1423.38461007,1072
140,1,17,47.67000862,1471.05461869,1089
74,2,17,48.0219944,1229.10953805,1106
98,2,17,47.58049297,1276.69003102,1123
2,5,17,47.82087397,1430.4991886600003,1140
100,5,17,54.12515118,1484.6243398400004,1157
1,2,18,51.94411629,1328.6341473100001,1175
91,2,18,54.53006205,1383.16420936,1193
115,2,18,48.31035497,1431.47456433,1211
104,4,18,53.76285577,1161.85246219,1229
57,4,19,51.03867367,1212.89113586,1248
137,4,19,53.54773542,1266.43887128,1267
43,4,20,48.85814641,1315.29701769,1287
119,4,20,46.13662116,1361.43363885,1307
8,2,21,54.75398768,1486.22855201,1328
83,4,21,46.01918212,1407.4528209700002,1349
58,4,22,48.4395487,1455.89236967,1371
38,3,23,51.75273225,448.30603601999996,1394
85,3,23,53.95360569,502.25964171,1417
67,3,25,48.70842308,550.96806479,1442
9,4,26,47.72196575,1503.61433542,1468
20,3,27,48.43740503,599.40546982,1495
89,3,29,51.82639703,651.23186685,1524
55,3,32,49.72629004,700.9581568899999,1556
133,3,33,50.74878243,751.70693932,1589
78,3,34,47.99198559,799.69892491,1623
135,3,36,47.77817151,847.47709642,1659
146,3,36,48.23526882,895.7123652399999,1695
73,3,38,52.76961749,948.4819827299999,1733
86,3,40,53.32105133,1001.80303406,1773
95,3,40,45.31733653,1047.12037059,1813
124,3,41,53.34058355,1100.46095414,1854
90,3,42,52.8088529,1153.26980704,1896
70,3,43,51.62646163,1204.89626867,1939
56,3,44,46.01633925,1250.91260792,1983
101,3,44,45.16959822,1296.08220614,2027
147,3,44,51.07946117,1347.16166731,2071
61,3,45,46.46747877,1393.62914608,2116
27,3,49,53.63368373,1447.26282981,2165
42,3,60,54.22966024,1501.49249005,2225
total distance: 2225,costs grid:20025,costs batteries:25000,total costs:45025,
