house,battery,distance,max_output_house,current_capacity_battery,total_distance
28,1,1,52.96938435,52.96938435,1
139,4,1,52.57995149,52.57995149,2
145,4,1,48.22881096,100.80876244999999,3
25,5,1,47.34915773,47.34915773,4
37,4,2,49.79974209,150.60850453999998,6
150,2,3,47.73944395,47.73944395,9
24,1,4,46.75613739,99.72552174,13
111,1,4,46.65187897,146.37740071000002,17
128,1,4,53.63429606,200.01169677000001,21
5,2,4,54.14676516,101.88620911000001,25
75,2,4,45.78474275,147.67095186,29
36,3,4,53.46156177,53.46156177,33
31,5,4,51.95373609,99.30289382000001,37
32,1,5,54.30849405,254.32019082000002,42
34,1,5,52.58547404,306.90566486,47
144,1,5,48.74438962,355.65005448,52
15,2,5,45.54596912,193.21692098,57
51,2,5,50.55356632,243.7704873,62
46,3,5,49.86535747,103.32691924,67
102,3,5,53.48855448,156.81547372,72
12,4,5,54.99730646,205.605811,77
54,5,5,48.14242474,147.44531856,82
93,5,5,45.29702228,192.74234084,87
41,2,6,50.04190502,293.81239232,93
80,2,6,45.2342213,339.04661362,99
59,5,6,52.0929123,244.83525314,105
125,5,6,46.43816048,291.27341362,111
134,5,6,47.56339729,338.83681091,117
7,2,7,46.74039375,385.78700737,124
103,2,7,50.91041056,436.69741793000003,131
108,2,7,51.58057128,488.27798921000004,138
142,2,7,51.83878558,540.11677479,145
69,4,7,51.72717898,257.33298998,152
132,4,7,48.43719875,305.77018873,159
16,5,7,49.93506537,388.77187628,166
71,5,7,52.78210048,441.55397676,173
129,5,7,49.54607954,491.1000563,180
53,1,8,48.60918505,404.25923953,188
96,1,8,50.16548949,454.42472902,196
114,1,8,53.12331423,507.54804325,204
13,2,8,47.04037014,587.1571449300001,212
136,2,8,45.25109877,632.4082437000001,220
141,2,8,48.94518723,681.3534309300001,228
105,3,8,47.6825473,204.49802102,236
120,3,8,45.17557463,249.67359565,244
131,3,8,47.92097158,297.59456723,252
72,4,8,49.13738507,354.90757379999997,260
10,5,8,51.86891316,542.96896946,268
18,5,8,54.18469088,597.15366034,276
149,1,9,46.27510427,553.82314752,285
60,2,9,45.5472391,726.90067003,294
107,2,9,53.3512745,780.2519445300001,303
19,4,9,46.63089313,401.53846692999997,312
66,4,9,46.05322103,447.59168795999994,321
29,5,9,46.60969509,643.76335543,330
3,1,10,51.81241388,605.6355614,340
33,1,10,54.2211502,659.8567116,350
88,1,10,52.2305101,712.0872217,360
97,2,10,52.38040091,832.6323454400001,370
6,3,10,45.24272018,342.83728741,380
79,3,10,53.71601636,396.55330376999996,390
11,4,10,46.8033198,494.39500775999994,400
17,4,11,49.07862835,543.4736361099999,411
117,4,11,53.95936785,597.43300396,422
130,4,11,54.56844455,652.0014485099999,433
121,5,11,51.57104914,695.3344045700001,444
48,1,12,53.35585729,765.44307899,456
143,1,12,47.71839737,813.16147636,468
68,2,12,48.54997218,881.18231762,480
40,4,12,54.91354462,706.91499313,492
127,4,12,53.08724525,760.00223838,504
30,5,12,45.84094791,741.17535248,516
112,5,12,51.54326497,792.71861745,528
4,1,13,53.11777253,866.2792488900001,541
77,1,13,49.79777396,916.07702285,554
116,1,13,51.79628813,967.87331098,567
82,2,13,50.30051709,931.48283471,580
84,5,13,50.8435769,843.56219435,593
94,5,13,47.09131203,890.6535063800001,606
21,1,14,52.92581641,1020.7991273900001,620
26,1,14,46.26812357,1067.0672509600001,634
65,1,14,49.65236115,1116.71961211,648
113,1,14,50.38289294,1167.10250505,662
47,2,14,46.38651333,977.86934804,676
39,4,14,48.27297674,808.27521512,690
109,4,14,50.30256407,858.57777919,704
122,4,14,50.20207187,908.77985106,718
126,4,14,48.72125695,957.50110801,732
35,5,14,46.9524009,937.6059072800001,746
